location,bedroom,bathroom,square,rent,pet,style,distance,average
Weehawken,3,2,624,"2,005",No,A,2<d<4,GOOD
Weehawken,3,1,510,"2,187",Yes,A,2<d<4,GOOD
Weehawken,3,1,510,"2,849",Yes,A,2<d<4,GOOD
Weehawken,3,2,1275,"3,450",No,A,2<d<4,GOOD
Weehawken,3,2,1275,"3,550",Yes,A,2<d<4,GOOD
Weehawken,3,2,1275,"4,595",Yes,A,2<d<4,BAD
Weehawken,3,2,1275,"4,595",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,660",Yes,A,2<d<4,BAD
Weehawken,3,2,1400,"4,660",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,660",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,670",Yes,A,2<d<4,BAD
Weehawken,3,3,N/A,"4,679",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,750",No,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,750",Yes,A,2<d<4,BAD
Weehawken,3,3,N/A,"4,788",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,875",Yes,A,2<d<4,BAD
Weehawken,3,2,"1,214","4,875",Yes,A,2<d<4,BAD
Weehawken,3,3,N/A,"4,887",No,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,925",No,A,2<d<4,BAD
Weehawken,3,2,900,"4,925",Yes,A,2<d<4,BAD
Weehawken,3,2,1400,"4,950",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,955",Yes,A,2<d<4,BAD
Weehawken,3,2,"1,214","4,955",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,995",Yes,A,2<d<4,BAD
Weehawken,3,2,1400,"4,995",Yes,A,2<d<4,BAD
Weehawken,3,3,"1,214","4,999",No,A,2<d<4,BAD
Weehawken,2,2,1275,"3,365",Yes,A,2<d<4,BAD
Weehawken,2,2,"1,214","3,425",Yes,A,2<d<4,BAD
Weehawken,2,2,"1,200","3,425",Yes,A,2<d<4,BAD
Weehawken,2,2,N/A,"3,425",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"5,150",Yes,A,2<d<4,BAD
Weehawken,2,2,1275,"3,450",Yes,A,2<d<4,BAD
Weehawken,2,2,1275,"3,450",No,A,2<d<4,BAD
Weehawken,2,2,"1,200","3,450",No,A,2<d<4,BAD
Weehawken,2,2,"1,200","3,450",Yes,A,2<d<4,BAD
Weehawken,2,2,"1,214","3,495",Yes,A,2<d<4,BAD
Weehawken,2,2,N/A,"3,550",Yes,A,2<d<4,BAD
Weehawken,2,2,"1,200","3,555",Yes,A,2<d<4,BAD
Weehawken,2,2,N/A,"3,610",Yes,A,2<d<4,BAD
Weehawken,2,2,1150,3615,No,A,2<d<4,BAD
Weehawken,2,2,"1,200","3,615",Yes,A,2<d<4,BAD
Weehawken,2,2,"1,200","3,710",No,A,2<d<4,BAD
Weehawken,2,2,"1,214","3,710",Yes,A,2<d<4,BAD
Weehawken,1,1,574,"2,190",Yes,A,2<d<4,BAD
Weehawken,1,1,574,"2,190",Yes,A,2<d<4,BAD
Weehawken,1,1,706,"2,480",No,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,486",Yes,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,489",Yes,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,489",Yes,A,2<d<4,BAD
Weehawken,1,1,800,"2,499",Yes,A,2<d<4,BAD
Weehawken,1,1,800,"2,513",No,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,513",No,A,2<d<4,BAD
Weehawken,1,1,706,"2,519",No,A,2<d<4,BAD
Weehawken,1,1,706,"2,519",No,A,2<d<4,BAD
Weehawken,1,1,800,"2,520",No,A,2<d<4,BAD
Weehawken,1,1,706,"2,535",Yes,A,2<d<4,BAD
Weehawken,1,1,574,"2,540",Yes,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,550",Yes,A,2<d<4,BAD
Weehawken,1,1,706,"2,550",No,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,550",Yes,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,550",Yes,A,2<d<4,BAD
Weehawken,1,1,706,"2,556",No,A,2<d<4,BAD
Weehawken,1,1,800,"2,595",Yes,A,2<d<4,BAD
Weehawken,1,1,706,"2,595",Yes,A,2<d<4,BAD
Weehawken,1,1,800,"2,595",No,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,641",No,A,2<d<4,BAD
Weehawken,1,1,800,"2,641",No,A,2<d<4,BAD
Weehawken,1,1,800,"2,641",Yes,A,2<d<4,BAD
Weehawken,1,1,1150,3420,Yes,A,2<d<4,BAD
Union City,2,2,"1,135","2,000",No,B,2<d<4,GOOD
Union City,2,2,"1,275","2,175",No,B,2<d<4,GOOD
Union City,2,2,"1,425","2,400",Yes,B,2<d<4,GOOD
Jersey City,1,1,280,1200,No,B,2<d<4,GOOD
Weehawken,2,3,1150,3700,No,B,2<d<4,BAD
Union City,2,1,800,"1,595",No,C,2<d<4,GOOD
Union City,1,1,800,"2,050",No,C,2<d<4,BAD
Union City,1,1,800,"2,050",Yes,C,2<d<4,BAD
Union City,1,1,926,"2,250",Yes,C,2<d<4,BAD
Jersey City,3,2,560,2400,Yes,B,2<d<4,GOOD
Jersey City,2,2,705,2300,Yes,B,2<d<4,GOOD
Jersey City,3,1,500,2000,No,B,2<d<4,GOOD
Jersey City,3,1,444,1800,No,B,2<d<4,GOOD
Jersey City,2,1,400,1650,No,B,2<d<4,GOOD
Jersey City,2,1,499,1900,No,B,2<d<4,GOOD
Jersey City,2,1,505,1900,No,B,2<d<4,GOOD
Jersey City,3,1,440,1800,No,B,2<d<4,GOOD
Jersey City,2,2,612,2900,Yes,B,2<d<4,BAD
Jersey City,1,1,380,1250,No,B,2<d<4,GOOD
Union City,2,1,985,"1,800",No,B,2<d<4,GOOD
Union City,1,1,847,"1,395",No,B,2<d<4,GOOD
Jersey City,1,1,203,1350,No,B,2<d<4,GOOD
Jersey City,1,1,450,1375,No,A,2<d<4,GOOD
Jersey City,3,2,573,2600,Yes,B,2<d<4,GOOD
Jersey City,3,2,578,2800,Yes,B,2<d<4,GOOD
Union City,3,1,825,"1,350",No,A,2<d<4,GOOD
Weehawken,3,1,706,"2,188",Yes,A,2<d<4,GOOD
Weehawken,3,1,624,"2,189",Yes,A,2<d<4,GOOD
Weehawken,3,1,624,"2,543",Yes,A,2<d<4,GOOD
Weehawken,3,1,706,"2,544",Yes,A,2<d<4,GOOD
Weehawken,3,1,706,"2,848",Yes,A,2<d<4,GOOD
Weehawken,3,2,1275,"3,475",No,B,2<d<4,GOOD
Weehawken,3,2,1150,3475,Yes,B,2<d<4,GOOD
Weehawken,4,3,"1,214","4,950",Yes,B,2<d<4,GOOD
Weehawken,2,1,706,"2,675",Yes,B,2<d<4,GOOD
Weehawken,2,1,706,"2,675",Yes,B,2<d<4,GOOD
Weehawken,3,2,"1,214","4,675",Yes,A,2<d<4,BAD
Weehawken,3,2,1275,"4,675",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,675",No,A,2<d<4,BAD
Weehawken,3,2,1400,"4,775",No,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,775",Yes,A,2<d<4,BAD
Weehawken,3,2,"1,214","4,850",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,875",No,A,2<d<4,BAD
Weehawken,3,2,1400,"4,875",No,A,2<d<4,BAD
Weehawken,3,2,"1,214","4,895",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,925",Yes,A,2<d<4,BAD
Weehawken,3,2,N/A,"4,925",Yes,A,2<d<4,BAD
Weehawken,2,2,N/A,"3,365",Yes,A,2<d<4,BAD
Weehawken,2,2,900,"3,365",No,A,2<d<4,BAD
Weehawken,2,2,1150,3365,Yes,A,2<d<4,BAD
Weehawken,2,3,N/A,"3,370",Yes,A,2<d<4,BAD
Weehawken,2,2,"1,200","3,450",Yes,A,2<d<4,BAD
Weehawken,2,2,"1,200","3,450",Yes,A,2<d<4,BAD
Weehawken,2,2,1150,3475,No,A,2<d<4,BAD
Weehawken,2,2,"1,214","3,475",Yes,A,2<d<4,BAD
Weehawken,2,2,"1,200","3,475",Yes,A,2<d<4,BAD
Weehawken,2,2,1275,"3,525",No,A,2<d<4,BAD
Weehawken,2,2,1150,3525,No,A,2<d<4,BAD
Weehawken,2,2,N/A,"3,550",No,A,2<d<4,BAD
Weehawken,2,2,N/A,"3,565",Yes,A,2<d<4,BAD
Weehawken,2,2,"1,200","3,565",No,A,2<d<4,BAD
Weehawken,2,2,"1,200","3,870",Yes,A,2<d<4,BAD
Weehawken,2,2,1150,3870,Yes,A,2<d<4,BAD
Weehawken,2,2,1150,3870,Yes,A,2<d<4,BAD
Weehawken,1,1,624,"1,975",No,B,2<d<4,BAD
Weehawken,1,1,624,"1,975",No,B,2<d<4,BAD
Weehawken,3,3,N/A,"7,000",Yes,A,2<d<4,BAD
Weehawken,2,2,N/A,"4,700",No,A,2<d<4,BAD
Weehawken,1,1,800,"2,530",Yes,A,2<d<4,BAD
Weehawken,1,1,706,"2,530",Yes,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,641",No,A,2<d<4,BAD
Weehawken,1,1,N/A,"2,641",Yes,A,2<d<4,BAD
Weehawken,1,1,800,"2,641",No,A,2<d<4,BAD
Weehawken,3,3,N/A,"8,450",Yes,A,2<d<4,BAD
Weehawken,1,1,"1,214","3,950",Yes,B,2<d<4,BAD
Weehawken,1,1,1150,3950,Yes,B,2<d<4,BAD
Weehawken,1,1,N/A,"9,500",Yes,A,2<d<4,BAD
Jersey City,1,1,360,950,No,A,2<d<4,GOOD
Jersey City,2,2,545,2150,Yes,B,2<d<4,GOOD
Jersey City,2,1,550,2350,Yes,B,2<d<4,GOOD
Jersey City,2,2,800,3250,Yes,B,2<d<4,BAD
Jersey City,1,1,535,2200,Yes,B,2<d<4,BAD
Jersey City,2,1,445,1800,No,B,2<d<4,GOOD
Union City,4,1,"1,300","2,200",Yes,B,2<d<4,GOOD
Weehawken,2,1,N/A,"2,050",No,B,2<d<4,GOOD
Weehawken,2,1,800,"2,050",Yes,B,2<d<4,GOOD
Union City,1,1,885,"1,650",No,B,2<d<4,BAD
Weehawken,2,1,800,"2,150",No,C,2<d<4,GOOD
Weehawken,2,1,800,"2,150",No,C,2<d<4,GOOD
Weehawken,2,1,800,"2,150",No,C,2<d<4,GOOD
Weehawken,1,1,624,"1,900",No,B,2<d<4,BAD
Union City,3,1,"1,350","1,800",Yes,B,2<d<4,GOOD
Union City,2,1,800,"1,495",Yes,C,2<d<4,GOOD
Union City,2,1,775,"1,600",No,B,2<d<4,GOOD
Union City,2,2,"1,135","2,150",Yes,C,4<d<6,GOOD
Weehawken,6,2.5,1400,"5,800",No,B,4<d<6,GOOD
Union City,2,1,800,"1,450",No,A,4<d<6,GOOD
Union City,3,2,"1,780","4,000",No,A,4<d<6,GOOD
Union City,2,2,"1,370","2,700",No,B,4<d<6,GOOD
Union City,1,1,630,"1,500",No,B,4<d<6,BAD
Union City,1,1,925,"2,200",No,B,4<d<6,BAD
Union City,2,2,"1,400","1,895",No,A,4<d<6,GOOD
Union City,2,2,1275,"2,500",No,A,4<d<6,GOOD
Union City,1,1,625,"1,250",No,B,4<d<6,GOOD
Union City,1,1,655,"1,250",Yes,A,4<d<6,GOOD
Union City,2,2,"1,284","2,800",No,B,4<d<6,GOOD
Union City,3,1,"1,200","1,750",No,B,4<d<6,GOOD
Weehawken,3,2,574,"2,360",Yes,A,4<d<6,GOOD
Weehawken,3,2,574,"2,360",Yes,A,4<d<6,GOOD
Weehawken,2,2,1150,3035,Yes,A,4<d<6,BAD
Weehawken,3,3,"1,214","4,765",No,A,4<d<6,BAD
Weehawken,3,2,N/A,"4,775",No,A,4<d<6,BAD
Weehawken,3,2,N/A,"4,775",No,A,4<d<6,BAD
Weehawken,3,2,"1,214","4,775",Yes,A,4<d<6,BAD
Weehawken,3,3,1275,"4,825",Yes,A,4<d<6,BAD
Weehawken,3,2,1400,"4,850",Yes,A,4<d<6,BAD
Weehawken,3,2,N/A,"4,850",Yes,A,4<d<6,BAD
Weehawken,3,2,N/A,"4,850",Yes,A,4<d<6,BAD
Weehawken,3,2,"1,214","4,850",Yes,A,4<d<6,BAD
Weehawken,3,2,N/A,"4,855",Yes,A,4<d<6,BAD
Weehawken,3,2,N/A,"4,875",Yes,A,4<d<6,BAD
Weehawken,3,3,1400,"4,890",Yes,A,4<d<6,BAD
Weehawken,3,2,1400,"4,925",Yes,A,4<d<6,BAD
Weehawken,3,2,"1,214","4,925",No,A,4<d<6,BAD
Weehawken,3,2,900,"4,925",Yes,A,4<d<6,BAD
Weehawken,3,2,1400,"4,950",No,A,4<d<6,BAD
Weehawken,2,2,1275,"3,365",No,A,4<d<6,BAD
Weehawken,2,2,1275,"3,365",Yes,A,4<d<6,BAD
Weehawken,2,2,"1,200","3,405",Yes,A,4<d<6,BAD
Weehawken,2,2,N/A,"3,425",Yes,A,4<d<6,BAD
Weehawken,2,2,1275,"3,425",No,A,4<d<6,BAD
Weehawken,3,2,1400,"5,150",Yes,A,4<d<6,BAD
Weehawken,2,2,1150,3455,No,A,4<d<6,BAD
Weehawken,2,2,"1,200","3,475",Yes,A,4<d<6,BAD
Weehawken,2,2,1275,"3,475",Yes,A,4<d<6,BAD
Weehawken,2,2,"1,200","3,525",Yes,A,4<d<6,BAD
Weehawken,2,2,1150,3525,No,A,4<d<6,BAD
Weehawken,2,2,N/A,"3,525",No,A,4<d<6,BAD
Weehawken,2,2,"1,200","3,565",Yes,A,4<d<6,BAD
Weehawken,2,2,"1,214","3,565",No,A,4<d<6,BAD
Weehawken,2,2,N/A,"3,565",Yes,A,4<d<6,BAD
Weehawken,2,2,"1,200","3,675",No,A,4<d<6,BAD
Weehawken,2,2,1150,3870,Yes,A,4<d<6,BAD
Weehawken,2,2,1150,3870,Yes,A,4<d<6,BAD
Weehawken,2,2,N/A,"3,870",Yes,A,4<d<6,BAD
Weehawken,1,1,800,"2,445",No,A,4<d<6,BAD
Weehawken,1,1,800,"2,530",No,A,4<d<6,BAD
Weehawken,1,1,N/A,"2,530",No,A,4<d<6,BAD
Weehawken,1,1,800,"2,530",No,A,4<d<6,BAD
Weehawken,1,1,706,"2,530",Yes,A,4<d<6,BAD
Weehawken,1,1,706,"2,530",No,A,4<d<6,BAD
Weehawken,1,1,N/A,"2,545",Yes,A,4<d<6,BAD
Weehawken,1,1,N/A,"2,545",Yes,A,4<d<6,BAD
Weehawken,1,1,N/A,"2,545",Yes,A,4<d<6,BAD
Weehawken,1,1,800,"2,550",Yes,A,4<d<6,BAD
Weehawken,1,1,800,"2,590",No,A,4<d<6,BAD
Weehawken,1,1,N/A,"2,641",Yes,A,4<d<6,BAD
Weehawken,1,1,N/A,"2,655",No,A,4<d<6,BAD
Union City,3,1,"1,650","1,800",No,B,4<d<6,GOOD
Union City,3,1,"1,469","2,000",No,B,4<d<6,GOOD
Union City,2,2,"1,000","2,200",No,C,4<d<6,GOOD
Union City,2,2,"1,000","2,200",No,C,4<d<6,GOOD
Union City,3,1,"1,753","6,180",No,A,4<d<6,BAD
Union City,2,2,"1,009","2,275",No,C,4<d<6,GOOD
Union City,2,2,"1,009","2,275",No,C,4<d<6,GOOD
Union City,3,2,"1,879","3,950",No,B,4<d<6,GOOD
Weehawken,1,1,574,"1,475",Yes,A,4<d<6,BAD
Weehawken,1,1,574,"1,475",No,B,4<d<6,BAD
Union City,3,2,"1,428","2,000",Yes,A,4<d<6,GOOD
Union City,3,2,"1,650","2,600",Yes,B,4<d<6,GOOD
Union City,2,2,"1,200","2,350",No,B,4<d<6,GOOD
Union City,5,1,"2,250","8,460",No,A,4<d<6,BAD
Union City,3,2,"1,465","2,300",No,B,4<d<6,GOOD
Union City,2,2,914,"2,250",Yes,C,4<d<6,GOOD
Union City,2,2,"1,650","2,300",No,B,4<d<6,GOOD
Union City,2,2,"1,157","2,300",No,A,4<d<6,GOOD
Union City,1,1,775,"1,150",Yes,B,4<d<6,GOOD
Union City,2,1,"1,100","1,900",No,B,6<d<8,GOOD
Union City,2,1,"1,100","1,900",No,B,6<d<8,GOOD
Union City,1,1,"1,015","1,350",No,C,6<d<8,GOOD
Union City,2,2,"1,325","2,400",No,A,6<d<8,GOOD
Union City,1,1,600,"1,200",No,B,6<d<8,GOOD
Union City,2,2,900,"2,150",No,C,6<d<8,GOOD
Union City,2,2,900,"2,150",No,C,6<d<8,GOOD
Union City,2,2,"1,348","2,550",Yes,B,6<d<8,GOOD
Union City,2,2,965,"2,350",Yes,C,6<d<8,GOOD
Union City,2,2,"1,025","2,400",No,B,6<d<8,GOOD
Union City,2,2,"1,360","2,600",Yes,B,6<d<8,GOOD
Union City,2,2,"1,495","2,195",No,B,6<d<8,GOOD
Union City,2,2,"1,400","2,200",Yes,B,6<d<8,GOOD
Union City,2,2,"1,063","2,200",No,A,6<d<8,GOOD
Union City,2,1,775,"1,500",No,B,6<d<8,GOOD
Union City,3,1,"1,230","2,600",Yes,A,6<d<8,GOOD
Union City,2,1.5,980,"1,950",No,B,6<d<8,GOOD
Union City,2,1,975,"1,700",No,B,6<d<8,GOOD
Union City,2,1,975,"1,700",Yes,A,6<d<8,GOOD
Union City,2,2,"1,247","2,550",No,B,6<d<8,GOOD
Union City,1,1,380,"1,600",No,C,6<d<8,BAD
Union City,1,1,500,"1,800",No,C,6<d<8,BAD
Union City,1,1,535,"1,800",No,B,6<d<8,BAD
Union City,1,1,600,"1,900",No,B,6<d<8,BAD
Union City,1,1,600,"1,900",No,B,6<d<8,BAD
Union City,1,1,575,"1,600",Yes,C,6<d<8,BAD
Hoboken,1,1,1400,"4,265",Yes,B,2<d<4,BAD
